arg1,arg2,verb,sentence,verb_stem,label
administration,attack,tokyo,"The administration has been reluctant , for a number of reasons , to attack Tokyo on rice , historically Japan 's most sacrosanct product .",attack,0
other,knocked,chimney,"The one time the cannon was fired , the chain snapped and one cannonball `` killed a cow in a distant field , while the other knocked down the chimney from a log cabin . ''",knock,1
banks,lent,amounts,"Banks have lent small amounts of gold for decades to borrowers such as jewelers , who use gold in their business .",lend,0
ads,drink,something,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come `` alive in the morning . '',drink,0
ailes,pumping,anger,"Roger Ailes , the man who will guide George Bush 's heavy media campaign , is pumping up his anger like a lineman preparing to crush the opposing quarterback .",pump,1
means,smooth,decline,"Some traders said that the West German central bank was divesting itself of some of its U.S. government securities as a means of reducing its foreign reserves , swollen by more than two years of periodic interventions to smooth out the dollar 's decline .",smooth,1
it,step,efforts,But Philips said it would step up efforts to restructure its medical division so that it could be competitive on its own .,step,1
people,escape,welfare,Your Sept. 22 editorial `` The Liberal Plantation '' hangs on a badly flawed premise: that workfare can lead to `` steady work '' and help poor people `` escape welfare and lead independent lives . '',escape,0
it,fill,paucity,"But the rumor was embraced by the market as it helped fill in the paucity of news on which to trade , according to participants .",fill,0
navy,lent,two,"Early last year , the Navy lent two of the planes to the Coast Guard , and two to Customs .",lend,0
we,struck,bottom,"`` Activity will pick up a little bit more once investors become a little bit more confident that we 've struck a trading range bottom , which I believe we have done . ''",strike,0
who,grabbed,knife,"He says it was the Koreans who grabbed the knife , wielded the fabric softener like a club , and , what 's more , beat up Ms. Clark 's 67-year-old mother , Ivy King , who was standing nearby , for no good reason except that she is black .",grab,0
feltsman,attacked,program,"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power .",attack,1
who,lent,to,"Federal regulators are expected to issue a statement as early as this week intended to reassure nervous Wall Street firms who have lent more than $ 10 billion to the thrift unit of deeply troubled Financial Corp. of America , Wall Street executives said .",lend,0
ida,lend,to,The IDA also will lend $ 17.6 million to the Yemen Arab Republic for agricultural projects .,lend,0
operations,roll,line,"A spokesman for the Georgia operations of Lockheed , where the last of 50 C-5Bs is scheduled to roll off the line early next year , said Lockheed has continued talking with a number of U.S. and foreign aircraft concerns about work for its huge plant here .",roll,0
they,poured,millions,They 've poured millions of dollars into lawmakers ' campaign coffers .,pour,1
that,examine,value,It would be most interesting to see an article that would examine the market value of a college degree by separating out for comparison a group of degreed and non-degreed individuals with similar social and economic backgrounds and levels of intelligence .,examine,0
suggestions,strike,fear,"Also , suggestions that the Saudis are intent on rebuilding a once-huge offshore stockpile tended to `` strike some fear in some of the participants in this market , '' said Stephen W. Platt , a Chicagobased analyst for Dean Witter Reynolds Inc .",strike,1
ward,lent,000,"The campaign was able to buy television time in the week before the election only because Mr. Ward personally lent it $ 20 , 000 .",lend,0
managers,pumping,proceeds,"Asset managers and institutions , which have been selling some of their old OTC favorites for two days now , began pumping proceeds into former OTC high-flyers , mostly issues that plummeted in the crash .",pump,1
banks,lend,other,"The rate on funds , or reserves that banks lend each other overnight , averaged about 7 1 2 % , up from 7.42 % Friday .",lend,0
they,kill,me,"Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might kill me . ''",kill,0
koversada,sleeps,000,"Koversada , maybe humanity 's greatest undraped conurbation , sleeps more than 100 , 000 .",sleep,0
he,eat,propeller,"`` He just tried to eat the propeller , '' says Mr. Fox .",eat,0
court,strikes,law,"In 1925 , Congress said that the Supreme Court has discretion to refuse to hear cases , except when a state supreme court strikes down a federal law or upholds a state law that was challenged as violating the Constitution , or when a federal appeals court strikes down a state law or a federal appeals or district court strikes down a federal law , all on constitutional grounds .",strike,0
who,killed,parents,"What about the recent story that did show a corpse ? -LRB- `` Portrait of Evil , '' was about a man who killed his parents. -RRB-/-RR",kill,0
that,killed,ministers,"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then-President Chun Doo Hwan .",kill,0
smoking,drinking,water,"The trick is that it is midnight , and the ban on eating , smoking , having sex and even drinking water applies only to the daylight hours .",drink,1
she,missed,week,She says the pain has been so bad that she has missed more than a week of work at her job as a bank teller .,miss,0
it,knocked,communications,It knocked out communications on the resort island of Cozumel and leveled slum areas in Cancun on the mainland .,knock,1
officials,fixed,rates,"When federal Medicare officials fixed rates for hospital reimbursements five years ago , executives at 3M and Abbott Laboratories separately began to worry about how their sales to hospitals would be affected .",fix,0
failure,knocked,elevators,"After a power failure knocked out the elevators , he climbed up and down all those flights at mealtimes .",knock,1
partisans,attacking,trading,These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading .,attack,1
data,lend,support,"On the U.S. side of the equation , Mr. Hodge said the improved October U.S. jobs data , the election and an expected improvement in the U.S. September trade deficit over the August report will all lend only temporary support to the dollar on its downward trend .",lend,0
cells,missing,bits,"Over the past year , two teams of researchers , one at Johns Hopkins University and the other in London , have found that cells taken from colon cancer tumors are missing tiny bits of DNA -- possibly even tiny bits of genes -- on two different chromosomes .",miss,0
ruling,struck,program,"In addition to the requirement of a warrant , the court 's ruling also struck down the department 's drug-testing program on the ground that the tests themselves do n't reliably measure intoxication at a particular time before their administration .",strike,0
farmers,plant,acres,"Most analysts expect farmers to plant 66.7 million to 70 million acres , up from 65.7 million acres last year .",plant,0
that,grabbed,sales,"Meanwhile , the discounters and specialty stores that have grabbed sales from Sears in recent years are n't likely to stand still while it tries to catch up .",grab,1
partisans,attacking,trading,These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading .,attack,1
he,fills,vacancy,He fills a vacancy created by the resignation of Henry W. Lorin .,fill,0
drexel,poured,resources,"In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities .",pour,1
it,melts,scrap,"Chaparral is a mini-mill only in the sense that it melts scrap in electric furnaces , a type of operation that has made steady headway in the U.S. as the huge facilities that employ coke and iron ore and the traditional blast furnaces have declined .",melt,1
builders,grabbed,business,"Japanese , West German , Taiwanese and other foreign machine tool builders grabbed business away from U.S. machine builders , both in the U.S. and abroad .",grab,0
corp.,roll,laptop,"More competition is on the way ; International Business Machines Corp. is expected to roll out a laptop soon to replace its PC Convertible , a near-total failure in the market .",roll,1
that,killed,wife,Friends say a 1975 auto crash that killed his wife and two children pushed Mr. Kiley deeper into his work and seared new priorities into his management approach .,kill,1
discovery,examine,investigators,The discovery has led air-safety investigators to examine a possible link between the Continental craft and two aircraft accidents that involved fuselage cracking .,examine,1
who,ate,piece,Plus a man who once ate an entire plane piece by piece .,eat,0
students,examine,concepts,"The approach is Socratic , using stories , questions and open discussion to allow students to examine these ethical concepts .",examine,0
market,absorbs,selling,"`` When the market absorbs heavy selling , as this one did , and still comes back , it indicates to me that it wants to go higher , '' Mr. Radoccia said .",absorb,1
debartolo,lend,company,"Edward J. DeBartolo , a Youngstown , Ohio , shopping store operator , has agreed to lend Campeau 's U.S. holding company $ 400 million for the Federated bid .",lend,0
they,eaten,themselves,The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,eat,1
huns,besieging,kingdoms,The marauding huns of the takeover game are besieging ever-larger corporate kingdoms .,besiege,1
they,lend,meaning,"Instead of being directed at the Mafia , they are being used to lend meaning to fuzzy laws and test novel legal theories in cases against Bob Wallach , securities officials from firms such as Princeton Newport and presumably Drexel Burnham , and now the Marcos family .",lend,0
rebels,attacked,village,"Tamil rebels attacked a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese .",attack,0
firm,lend,wespac,"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",lend,0
statesmen,smoothed,project,The statesmen finally smoothed out the project by deciding to raise an additional billion dollars with a tax on natural gas .,smooth,1
that,flooded,offices,But Cameloot was just another loser among the entries that flooded the offices of Circus Circus Enterprises Inc. during a contest to name its planned $ 290 million castle-theme resort .,flood,1
papers,pumping,money,"By pumping money into coverage of local business , the papers aimed at an affluent and influential audience in their communities .",pump,1
campesinos,kill,him,"`` If {Shorty} puts down his arms , the campesinos themselves will kill him . ''",kill,0
it,cool,temperatures,"A front is then expected to move in but it will cool temperatures only slightly , to 40 to 50 degrees .",cool,0
you,dragging,tree,"Johnson was then moved in other conversational directions , but the conclusion of his thought was clear: It 's tough to move fast when you 're dragging a tree .",drag,1
that,drag,people,"`` We wanted an arresting headline that would drag people into the body copy , '' says Tambrands spokesman Paul Konney .",drag,1
co.,absorb,semiconductor,"Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co .",absorb,0
insects,attacking,trees,"`` The big question is whether the pest problems are happening by themselves or whether opportunistic insects are attacking weakened trees , '' said David Marvin , a maple syrup producer in Johnson , Vt .",attack,1
bank,lent,billion,"Since then , the World Bank alone has lent more than $ 83 billion to already overburdened Third World debtors .",lend,0
banks,lend,one,"Changes in Florida Federal 's rate on its Liquidity Plus money market account are linked to a seven-day average for the federal funds rate , which is the rate on reserves that banks lend one another overnight .",lend,0
bomb,killed,officials,"Five years ago , a North Korean bomb killed 17 high-ranking South Korean government officials who were on a state visit to Rangoon , Burma .",kill,0
he,kicks,water,"When he kicks the pipe holding water back from Milagro , the water floods his dying bean field .",kick,1
he,kick,tires,"With their boss routinely delving into the nuts and bolts of prospective projects -LRB- he likes to `` kick the tires , '' says a colleague -RRB- , Mr. Schwartz 's team of 20 people spends roughly two-thirds of their time analyzing alternative proposals .",kick,1
zimmerman,dragged,nests,"A few years ago , Dr. Zimmerman and his colleagues dragged nests of two different termite species into the lab and measured their methane output .",drag,0
rep,attacking,crocuses,Sparrows used to have a rep for selectively attacking yellow crocuses such as `` E.A .,attack,0
style,touch,someone,New England Telephone says the campaign makes it the first local phone company to break with the `` reach out and touch someone '' style of advertising popularized by Ma Bell .,touch,1
epa,targeted,hundreds,The EPA has targeted hundreds of sites across the country for cleanup of hazardous materials under its Superfund program .,target,0
ideas,strike,it,Ideas may strike it but they just bounce off .,strike,1
that,filled,books,It was a fight that filled magazines and books and gave professors case histories for business schools .,fill,1
who,lend,million,"So if he wants to return the federal money , his only option seems to be to find a friendly banker who will lend him the $ 6 million without collateral , on the strength of his predicted future receipts and his prodigious reputation for raising money when he was in the television religion business .",lend,0
that,lent,billion,"The Federal Home Loan Bank Board , as expected , adopted a resolution intended to reassure Wall Street firms that have lent about $ 12.6 billion to the thrift unit of troubled Financial Corp. of America .",lend,0
farmers,plowing,fields,"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields .",plow,0
shamir,planting,bishvat,"Mr. Shamir spent Tu Bishvat planting a tree at a Jewish settlement on the occupied West Bank , where he said he expected the settlement movement to grow and flourish .",plant,0
he,filling,statement,He is laboriously filling out the cash-flow statement his bank requires for a spring-planting loan .,fill,1
he,missed,impact,"He has been wrong on interest rates recently , again because he missed the full impact of the declining dollar , and he concedes that bond prices could fall temporarily .",miss,0
i,miss,camp,"`` I miss my camp , my camels , my cheese , '' he says wistfully .",miss,0
mass,eat,dinner,"But the overwhelming mass of Soviet people eat dinner at home , after wasting millions of hours in line buying dreadful food , barely seeing a green vegetable in a state grocery all winter -LRB- although the citrus situation is vastly improved from what it once was -RRB- .",eat,0
suit,fix,percentage,-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,fix,1
hammers,strike,chimes,"Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to strike the chimes .",strike,0
that,lend,to,But bankers that lend to farmers suddenly are worrying anew about their borrower 's financial health .,lend,0
risk,eating,meals,"Beyond that , conditions on board were so vile that `` the sailor was at greater risk eating his meals aboard than fighting . ''",eat,0
endorsement,pump,economy,"The commission 's endorsement of using gambling to pump up Detroit 's economy was widely expected , and serves mainly to push the heated Detroit casino debate back to the city council .",pump,1
we,roll,concept,"`` If it 's successful , we 'll roll out the concept elsewhere , '' said Craig Kirsch , General Nutrition 's chief financial officer .",roll,1
kinlen,examined,deaths,"Dr. Kinlen , who directs the university 's Cancer Epidemiology Unit , examined leukemia deaths from a U.S. study that had tracked veterans ' smoking between 1954 and 1969 .",examine,0
firms,poured,money,Securities firms and banks have long poured money into the coffers of state and local officials to improve their chances of getting municipal finance business .,pour,1
efforts,destroy,labor,`` This case is the next logical step in our efforts to put a halt to Lorenzo 's oppressive and unlawful campaign to destroy organized labor at Eastern . '',destroy,0
that,flooded,market,"While investors generally reacted either indifferently or negatively to the dozens of quarterly earnings reports that flooded the market , there were a few exceptions .",flood,1
clergymen,filled,pages,"Clergymen , philosophers , sociologists and political scientists have filled the pages of scholarly journals about the subject .",fill,0
they,missed,point,"`` Of course , you look at some of the women competing today , and they 've missed the whole point .",miss,1
test,misses,segment,"Thus , the conventional antibody test misses an unknown segment of AIDS-infected people .",miss,0
countries,absorbing,it,"Nearly all of this growth is in the developing countries of Africa , Asia and Latin America , which are least capable of absorbing it , the report said .",absorb,0
time,rest,hands,And she recalls Joshua 's reaction to his first week of first grade: `` They do n't give us enough time to rest our heads and our hands . '',rest,0
authors,grasp,fact,Authors are starting to grasp this simple fact .,grasp,1
staffers,examining,disclosures,SEC staffers have just begun examining corporate cleanup disclosures .,examine,0
who,flew,him,"He is now economic adviser to Said bin Ahmed Al-Shanfari , the oil minister of Oman -- a role for which he was handpicked by Mr. Deuss , who flew him to Oman to introduce him to Mr. Al-Shanfari .",fly,0
effect,fixing,prices,"But , according to the EC Commission , the GATT panel agreed with the EC 's contention that Japan 's monitoring has the effect of improperly fixing prices paid by third-country users .",fix,0
which,pump,million,"However , Robert M. Bass Group Inc. of Fort Worth , Texas , which has agreed to pump $ 550 million in new capital into American Savings and acquire the thrift with $ 2 billion of federal aid , apparently plans to launch its own campaign to market various financial services through American Savings .",pump,0
he,target,districts,"He says he will work to improve the quality of education black children receive , and that he will target certain black school districts for special support .",target,0
he,grasped,potential,But he grasped the potential of putting the two together .,grasp,1
briefs,attacking,prosecutors,"So Mr. Tribe of Justice will file a brief arguing for independent counsels ; Justice itself has filed briefs attacking these prosecutors , and both arguments are supposed to represent the view of the executive branch .",attack,0
platform,striking,chord,So far it 's difficult to see that Mr. Kemp 's platform is striking a responsive chord in Iowa .,strike,0
people,kick,me,"`` You could n't give the shares away if you tried , '' adds Vahid Fathi , an analyst with Prescott , Ball & Turben Inc. Mr. Munk himself recalls , `` I had many people kick me out . ''",kick,1
they,attack,stalin,`` I think glasnost is bad when they attack Stalin . '',attack,0
i,kick,ass,"`` I do n't want to see you around the neighborhood , or I 'm going to kick your ass , '' Jesus Feliciano , a Guardian Angel accompanying a Thread group , shouts at a short , wiry and bearded crack smoker sitting on a dingy stoop .",kick,1
likelihood,drag,offense,"In fact , the biggest problem facing a Jimmy Snyder or Gary Hart today is n't the loss of job or candidacy but the likelihood that he will have to drag his offense forever , like a tin bell , all across the land .",drag,1
concern,fill,officers,"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .",fill,0
corp.,melting,steel,"In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start melting steel in a new 500-worker I-beam mill at Blytheville , Ark . , on the Mississippi .",melt,0
it,plow,%,TNT also says it will plow a hefty 80 % of its revenue back into programming -- some $ 250 million over its first three years .,plow,0
it,rained,half,"It has rained only an inch and a half since January , and most of that came in sprinkles that quickly sizzled back into the air as soon as they hit the burning ground .",rain,1
shame,missed,this,It really is a shame the famous old astrologer and Reagan friend Carroll Righter died last week and missed all this .,miss,0
you,eat,salad,You 'll probably want to eat a crab salad . '',eat,1
he,pumped,gallons,"Gary Floyd , owner of Johnson 's Corner , says he pumped one million fewer gallons of diesel fuel in 1987 than a year earlier .",pump,0
country,cool,policy,"The United Kingdom 's chancellor of the exchequer , Nigel Lawson , said the country has tightened its monetary policy to cool a consumer spending spree and bolster weak savings and investment levels .",cool,1
that,plowing,money,"Among those eliminated are stocks that do n't pay dividends , which include some fast-growing concerns that are plowing all available money into expansion .",plow,0
order,examine,aspects,"Watch these acclaimed motor-mouths crank it to the max , in order to `` examine all aspects of the electoral process '' in a single hour .",examine,0
they,destroy,layer,"The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer .",destroy,0
orders,flooded,york,"`` If the S & P would 've closed , sell orders would 've flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit .",flood,0
caldwell,grasped,it,"Ravin Caldwell , an obscure rookie special-teams player from Arkansas , finally grasped it , probably saving his team 's bacon .",grasp,0
a,roll,jellies,"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",roll,1
brieant,attacked,merits,"In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment .",attack,1
requirements,pump,%,They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,pump,1
government,destroy,industry,"`` We do n't need the government trying to destroy the industry because of a few bad apples , '' says David L. Ganz , an ANA board member and a lawyer for some coin dealers .",destroy,0
ida,lend,million,The IDA also will lend $ 17.6 million to the Yemen Arab Republic for agricultural projects .,lend,0
companies,miss,opportunity,Non-U.S. companies that do n't respond to the need for more substantive and timely information will miss the opportunity to attract U.S. investment .,miss,0
orders,flooded,york,"`` If the S & P would 've closed , sell orders would 've flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit .",flood,0
solvent,dissolve,gallstones,"The solvent failed to dissolve non-cholesterol gallstones in two patients , however .",dissolve,0
appointments,filling,posts,"The appointments , filling vacant posts , are the first since the company 's top officers resigned at the end of May .",fill,0
capability,absorb,manpower,"A U.S. Department of Labor report prepared by the U.S. Embassy here said the country `` continues to rely heavily on export of labor , tramsmigration and the capability of the informal sector to absorb surplus manpower to take up each year 's slack in unemployment opportunities . ''",absorb,0
we,examining,job,"`` We tried to protect as many people as we could , examining every job , every structure and every expense , '' Mr. Traub said .",examine,0
troops,attacked,airport,"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets .",attack,0
time,examine,forces,"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab-Israeli conflict boiling so long .",examine,0
scenes,assaulting,gorbachev,The scenes two weeks ago of ordinary people in Krasnoyarsk verbally assaulting Mikhail Gorbachev because of the shortage of goods in the shops reflect how deep popular disappointment is over the results of `` perestroika '' thus far .,assault,1
it,miss,million,"The company has said a cash-flow shortage caused it to miss $ 3.3 million in interest payments on its 10 7 8 % senior debentures due Dec. 31 , 1995 .",miss,0
italy,dragging,feet,An Aer Lingus spokesman claimed Italy is dragging its feet because Alitalia plans to start flights between Milan and Manchester this month .,drag,0
women,dancing,nude,"Then watch women dancing nude at Tattletales , a blue-collar strip joint down the road with trucks outside and a Welcome Democrats sign on the roof .",dance,0
banks,absorb,losses,Reserving enables banks to absorb losses on bad credits .,absorb,0
he,attacked,panel,He also attacked a House panel for disclosing at least three pending SEC inquiries .,attack,1
reservationists,strike,corp.,"The feisty , 62-year-old director of the airline division of the Teamsters union wants 4 , 300 Pan Am reservationists , ticket agents , and office and other workers to strike Pan Am Corp. after a cooling-off period that ends Sunday .",strike,0
bicycles,kill,children,Bicycles kill far more children than handguns .,kill,0
that,absorbs,workers,"It is the growth of the Hidden Economy -- these millions of small , private businesses -- that cushions the shock of a crashing Dow , that absorbs the workers cut loose by big firms when they restructure and that created most of those 17 million jobs .",absorb,0
they,pouring,lots,"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York .",pour,0
wife,stick,husband,Another ad for a toilet-bowl cleaner is shot from inside the toilet so you can watch a wife urge her husband to stick his head inside the bowl to see how clean she got it .,stick,0
jaruzelski,rested,base,"The last Polish leader who recognized Solidarity , Edward Gierek , lost his job in the process ; Gen. Jaruzelski has rested his political base on a refusal to do the same .",rest,1
occasion,destroy,bases,This was not the first occasion when Sandinistas have pursued Contras across an ill-defined frontier and sought to destroy the Contra bases .,destroy,0
element,destroy,ozone,"The chief substitutes will likely be variations on this chemical structure but with less chlorine , the element thought to destroy atmospheric ozone .",destroy,0
rate,touches,boom,"As it is , the current capacity utilization rate of about 83 % at the nation 's factories `` typically touches off a capital spending boom . ''",touch,1
temperatures,melted,snow,"It was a white New Year in Moscow , but by the time Christmas rolled around last week , unusually high temperatures , in the 30s and 40s day and night , had melted the snow away , leaving streets and sidewalks coated with mud and puddles .",melt,0
members,dissolve,facility,"The remaining members have agreed to dissolve the facility , though they say they may form a new , smaller claims agency .",dissolve,0
employees,kick,program,"The machinery maker , which in December announced it had heavy losses and would be laying off 6 , 000 employees to kick off a restructuring program , said it had a 285 million-mark parent company loss in 1987 .",kick,1
modes,drag,accountant,"That 's pretty much it , plotwise , except for coming up with the various modes of transportation the bounty hunter cop has to use to drag the con man accountant across country .",drag,0
quayle,miss,appearance,"Coincidentally or not , this meant that Sen. Quayle also would miss a scheduled joint appearance with the vice president today in Chicago at the meeting of the Veterans of Foreign Wars .",miss,0
company,fixing,units,"Currently , the company is fixing only 200 to 300 units a day , far below TRW 's goal of 2 , 000 units a day .",fix,0
company,absorb,taxes,But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division .,absorb,0
deadline,destroying,pcbs,"He did n't set a deadline for destroying PCBs , but said movable disposal units might be leased from the U.S. to help eliminate those stored in warehouses across the country .",destroy,0
wilson,escape,clutches,"The agreement appears to allow Wilson , a pork processor and producer , to escape the clutches of Doskocil Cos . , a Hutchinson , Kan . , maker of pizza toppings that has waged an aggressive takeover battle .",escape,0
that,escape,walsh,"The amendment did n't cover the National Security Council -LRB- a fact that continues to escape Lawrence Walsh -RRB- , so helping the Contras fell to a few workaholics in the Old Executive Office Building .",escape,0
unit,misses,payment,"If the New Orleans Public Service unit misses payment of four consecutive dividends , preferred holders could take control of the company .",miss,0
thaw,touched,areas,The thaw in U.S.-Soviet relations has touched many areas of Soviet life .,touch,0
center,filled,openings,"Their flagship center in Cambridge 's booming Kendall Square has filled all 44 openings , and 90 children are on the waiting list .",fill,1
he,dissolved,parliament,"Four years later he dissolved Parliament , which 13 years after that stripped him of power .",dissolve,1
market,absorb,increases,"`` It is actually easier for this market to absorb small increases for the yen -LRB- against the dollar -RRB- , '' Mr. Nakaharu said , `` although of course a sudden fall for the dollar would be a problem . ''",absorb,0
company,absorb,taxes,But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division .,absorb,0
that,withering,much,The dry weather that 's withering much of the nation 's crop land already has sent many commodity prices soaring past the highs set during the 1983 drought .,wither,0
u.s.,targeted,embassy,A former Navy intelligence aide said the U.S. targeted the French Embassy when it bombed Libya in 1986 .,target,0
it,targeted,businesses,"But to improve its profitability , it recently targeted mid-sized businesses as well .",target,0
rhinos,knock,workmen,Rhinos wearing tutus daintily knock workmen aside .,knock,0
representation,struck,professionals,"And although the firm has become involved in some hostile transactions in recent years , its representation of a major unsolicited bid by a foreign concern struck some takeover professionals as unusual .",strike,0
banks,lend,other,"The federal funds rate , which is the rate on reserves banks lend each other overnight , averaged 6.79 % Friday , according to Fulton Prebon -LRB- U.S.A. -RRB-/-RR",lend,0
knack,fix,firms,"Investors , analysts and members of the local banking community generally view Mr. Hillas as an able manager with a solid knowledge of the capital markets , a keen eye for evaluating banking companies and their businesses , and a knack for helping fix ailing firms .",fix,1
scene,missing,something,Nearly every scene seems to be missing something .,miss,1
handful,kill,newspapers,"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",kill,1
shearson,lend,rjr,"Mr. Cohen , who is taking an active interest in the RJR deal because of the estimated $ 4 billion that Shearson would lend RJR , pleaded with Mr. Kravis not to become involved , according to these people .",lend,0
residents,absorbed,chili,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag .",absorb,1
stocks,dragged,indicators,"Big technology stocks , hit hard by yesterday 's downturn on Wall Street , dragged down the main over-the-counter market indicators .",drag,1
fed,targeting,growth,"Second , if politicians think that the Fed is targeting economic growth , they will blame the Fed if the economy slows .",target,1
fire,killed,engineer,The fire killed a building engineer trapped in an elevator and injured 40 custodial workers and firefighters .,kill,0
that,escapes,pockets,Money that escapes the pockets of bureaucrats disappears into rat holes .,escape,1
event,fill,bottle,"`` They say it 's demeaning to the steer , but how would they know that ? '' asks Mr. Souther , who compares it to `` wild-cow milking '' -- an event in which one person tries to calm a wild cow while another tries to fill up a Coke bottle with wild-cow milk .",fill,0
farmers,planted,smallest,"Farmers in Kansas , the No. 1 wheat-producing state , planted 10.2 million acres , the smallest since 1971 .",plant,0
unions,attack,economy,"Labor unions , too , attack the underground economy .",attack,0
rains,killed,roads,"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off .",kill,0
i,examined,ability,"`` I privately examined this company 's ability to deal with Japanese equities , and secretly induced the Ministry of Finance to focus on this point , '' says Mr. Miyoda .",examine,1
others,fly,them,Others fly them out as personal luggage .,fly,0
banks,absorb,cost,To expect banks to absorb a cost without a commensurate charge defies logic .,absorb,0
that,absorbs,liquids,"New Pig Corp . , Tipton , Pa . , offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines .",absorb,0
news,knocked,stock,"News of Mr. Bilzerian 's filing , under the Hart-Scott-Rodino Antitrust Act , knocked FlightSafety 's stock up $ 2.25 a share yesterday to close at $ 26.75 in New York Stock Exchange composite trading .",knock,0
which,flying,the,"The Navy , which began flying the A-6 in 1963 , has 340 in service and is buying more .",fly,0
it,destroy,virus,There is n't any indication that it could destroy the AIDS virus itself .,destroy,0
chef,eat,tubes,"Thierry Liebaut , director of development for a French media group , says if he had to pay top price for it in a restaurant , `` I would make the chef eat the tubes . ''",eat,1
permission,grab,lead,"Japan has long fended off accusations that Japanese companies use U.S. and European technologies without permission to grab a market lead , most recently in semiconductors .",grab,0
team,pumped,million,But last year a team of investors pumped about $ 3 million in new equity into the company and restructured some of its debt .,pump,1
he,pumped,spending,"Regardless of the election outcome , the towering federal deficit means the next president will inherit a flat defense budget and a far different defense climate than the one President Reagan enjoyed when he pumped up Pentagon spending virtually overnight in 1981 .",pump,1
company,lent,000,"The Atlanta-based company lent Ironton Iron $ 500 , 000 and has an option to buy it .",lend,0
proponents,targeted,companies,"One reason for success: Proponents targeted only companies held largely by institutions , says John Wilcox of proxy solicitor Georgeson & Co .",target,0
governor,touched,chord,"At a recent Los Angeles fund-raiser , the governor touched a chord when he invoked his immigrant heritage .",touch,1
agreement,filling,orders,"Now , in a suit filed in State Supreme Court in Manhattan , Claiborne alleges that Avon failed to keep an agreement to continue filling orders for the former venture , which had 1987 sales of about $ 27 million .",fill,0
they,struck,nerve,"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve .",strike,1
most,targeted,campaigns,"Most of the banks specifically have targeted marketing campaigns at profitable small companies . -LRB- Separately , Dai-Ichi Kangyo said it will name Ichiro Nakamura , now a vice president , as chairman , succeeding Tetsuya Fujimori .",target,0
oil,pumped,billion,"In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers .",pump,1
rates,cool,things,Mr. Lawson insists the acceleration is but `` a blip '' and says recently imposed higher interest rates will cool things off without interrupting growth .,cool,1
